GeneID	A172_T_0	A172_T_1	A172_T_2	A172_U_0	A172_U_1	A172_U_2	GBM63_T_0	GBM63_T_1	GBM63_T_2	GBM63_U_0	GBM63_U_1	GBM63_U_2
ENSG00000000003	1	2	2	3	3	2	2596	3176	3753	4010	4148	3639
ENSG00000000005	0	0	0	0	0	0	1	1	0	0	0	1
ENSG00000000419	1415	1355	1785	1375	1746	2006	779	788	1191	1015	1102	764
ENSG00000000457	843	705	746	815	684	772	746	704	901	683	763	642
ENSG00000000460	1265	925	734	1179	1350	1290	2452	2248	2586	1630	1595	753
ENSG00000000938	1	4	7	0	1	0	1	0	4	0	3	1
ENSG00000000971	1356	779	1117	1015	619	945	7072	6312	7407	6270	6063	7023
ENSG00000001036	4251	4234	3557	3515	3755	3779	3327	3208	3608	2983	2797	2857
ENSG00000001084	1312	1173	1260	1278	1180	1160	3428	3185	3909	3436	3506	5821
ENSG00000001167	1658	1715	1758	2070	2169	2256	2154	2131	2669	2389	2557	2108
ENSG00000001460	162	95	107	89	60	74	37	48	72	54	55	32
ENSG00000001461	1589	1466	1508	971	889	817	943	874	1072	990	924	608
ENSG00000001497	1776	1766	1795	1777	1927	2199	2474	2534	3312	2350	2889	2164
ENSG00000001561	0	0	0	0	0	0	4	10	4	5	5	2
ENSG00000001617	164	121	91	174	112	126	28	23	25	17	24	37
ENSG00000001626	2	3	5	2	1	6	3	2	6	7	5	2
ENSG00000001629	7513	7174	7533	7306	7063	7748	8467	7898	9805	8978	9044	8718
ENSG00000001630	6095	5827	5521	5115	5199	5288	8847	9735	11458	15143	15604	12289
ENSG00000001631	1506	1079	1424	1416	1172	1316	2226	2086	2928	2265	2440	2271
ENSG00000002016	384	240	270	254	240	277	285	280	391	260	335	368
ENSG00000002079	75	83	52	4	6	11	1	0	3	0	0	1
ENSG00000002330	3046	3260	3278	2786	3615	4059	1802	1934	2703	1674	1998	1283
ENSG00000002549	3469	2824	2816	2932	2868	2820	4376	3834	4584	4257	4050	2656
ENSG00000002586	0	0	1	0	2	2	0	0	1	1	0	0
ENSG00000002587	0	0	0	1	0	0	726	861	1127	858	1246	537
ENSG00000002726	1	5	0	9	9	9	0	0	0	0	1	1
ENSG00000002745	0	0	0	0	1	0	13	25	21	38	42	5
ENSG00000002746	2168	1993	2264	1905	1732	2113	116	103	102	97	93	81
ENSG00000002822	2229	2049	1730	1742	1814	1876	1231	1554	1946	1374	1501	1298
ENSG00000002834	23539	27848	26438	23987	30630	30523	18792	17650	22004	16096	17553	15119
ENSG00000002919	1232	1374	1095	1063	1300	1216	1375	1313	1586	1375	1442	1279
ENSG00000002933	0	0	0	0	0	0	4	8	13	16	12	13
ENSG00000003056	3299	2617	2537	2765	2580	2813	3678	3851	4602	4610	4526	4665
